1. Marker ID: 366 , Average Detection Rate: 100.05%
2. Marker ID: 425 , Average Detection Rate: 100.00%
3. Marker ID: 336 , Average Detection Rate: 100.00%
4. Marker ID: 422 , Average Detection Rate: 100.00%
5. Marker ID: 434 , Average Detection Rate: 100.00%
6. Marker ID: 327 , Average Detection Rate: 100.00%
7. Marker ID: 404 , Average Detection Rate: 100.00%
8. Marker ID: 430 , Average Detection Rate: 100.00%
9. Marker ID: 411 , Average Detection Rate: 99.95%
10. Marker ID: 398 , Average Detection Rate: 99.95%
11. Marker ID: 384 , Average Detection Rate: 99.95%
12. Marker ID: 495 , Average Detection Rate: 99.90%
13. Marker ID: 427 , Average Detection Rate: 99.90%
14. Marker ID: 376 , Average Detection Rate: 99.90%
15. Marker ID: 431 , Average Detection Rate: 99.85%
16. Marker ID: 485 , Average Detection Rate: 99.85%
17. Marker ID: 462 , Average Detection Rate: 99.85%
18. Marker ID: 375 , Average Detection Rate: 99.75%
19. Marker ID: 379 , Average Detection Rate: 99.59%
20. Marker ID: 396 , Average Detection Rate: 99.54%
21. Marker ID: 470 , Average Detection Rate: 99.44%
22. Marker ID: 347 , Average Detection Rate: 99.39%
23. Marker ID: 414 , Average Detection Rate: 99.09%
24. Marker ID: 269 , Average Detection Rate: 98.53%
25. Marker ID: 382 , Average Detection Rate: 98.48%
26. Marker ID: 337 , Average Detection Rate: 97.87%
27. Marker ID: 389 , Average Detection Rate: 97.86%
28. Marker ID: 433 , Average Detection Rate: 97.78%
29. Marker ID: 441 , Average Detection Rate: 97.63%
30. Marker ID: 393 , Average Detection Rate: 94.48%
31. Marker ID: 412 , Average Detection Rate: 93.60%
32. Marker ID: 394 , Average Detection Rate: 93.43%
33. Marker ID: 319 , Average Detection Rate: 91.40%
34. Marker ID: 458 , Average Detection Rate: 88.64%
35. Marker ID: 466 , Average Detection Rate: 88.63%
36. Marker ID: 459 , Average Detection Rate: 83.85%
1. Marker ID: 486 , Average Detection Rate: 100.00%
2. Marker ID: 467 , Average Detection Rate: 100.00%
3. Marker ID: 371 , Average Detection Rate: 100.00%
4. Marker ID: 416 , Average Detection Rate: 100.00%
5. Marker ID: 460 , Average Detection Rate: 100.00%
6. Marker ID: 387 , Average Detection Rate: 99.90%
7. Marker ID: 405 , Average Detection Rate: 99.80%
8. Marker ID: 265 , Average Detection Rate: 99.44%
9. Marker ID: 465 , Average Detection Rate: 99.19%
10. Marker ID: 461 , Average Detection Rate: 98.79%
11. Marker ID: 372 , Average Detection Rate: 98.68%
12. Marker ID: 373 , Average Detection Rate: 98.62%
13. Marker ID: 448 , Average Detection Rate: 98.47%
14. Marker ID: 251 , Average Detection Rate: 98.28%
15. Marker ID: 429 , Average Detection Rate: 98.10%
16. Marker ID: 447 , Average Detection Rate: 97.96%
17. Marker ID: 333 , Average Detection Rate: 97.57%
18. Marker ID: 415 , Average Detection Rate: 97.26%
19. Marker ID: 356 , Average Detection Rate: 97.01%
20. Marker ID: 328 , Average Detection Rate: 96.91%
21. Marker ID: 437 , Average Detection Rate: 96.45%
22. Marker ID: 262 , Average Detection Rate: 96.20%
23. Marker ID: 378 , Average Detection Rate: 95.53%
24. Marker ID: 364 , Average Detection Rate: 95.22%
25. Marker ID: 250 , Average Detection Rate: 94.74%
26. Marker ID: 374 , Average Detection Rate: 94.30%
27. Marker ID: 275 , Average Detection Rate: 94.07%
28. Marker ID: 408 , Average Detection Rate: 93.94%
29. Marker ID: 432 , Average Detection Rate: 93.50%
30. Marker ID: 326 , Average Detection Rate: 92.56%
31. Marker ID: 370 , Average Detection Rate: 91.74%
32. Marker ID: 358 , Average Detection Rate: 90.66%
33. Marker ID: 322 , Average Detection Rate: 90.34%
34. Marker ID: 386 , Average Detection Rate: 88.26%
35. Marker ID: 289 , Average Detection Rate: 83.43%
36. Marker ID: 377 , Average Detection Rate: 76.40%
