# Список
1. Marker ID: 809 , Average Detection Rate: 100.00%
2. Marker ID: 941 , Average Detection Rate: 100.00%
3. Marker ID: 874 , Average Detection Rate: 100.00%
4. Marker ID: 959 , Average Detection Rate: 100.00%
5. Marker ID: 864 , Average Detection Rate: 100.00%
6. Marker ID: 803 , Average Detection Rate: 100.00%
7. Marker ID: 898 , Average Detection Rate: 100.00%
8. Marker ID: 946 , Average Detection Rate: 100.00%
9. Marker ID: 942 , Average Detection Rate: 100.00%
10. Marker ID: 813 , Average Detection Rate: 100.00%
11. Marker ID: 917 , Average Detection Rate: 100.00%
12. Marker ID: 771 , Average Detection Rate: 100.00%
13. Marker ID: 794 , Average Detection Rate: 100.00%
14. Marker ID: 795 , Average Detection Rate: 100.00%
15. Marker ID: 883 , Average Detection Rate: 100.00%
16. Marker ID: 888 , Average Detection Rate: 100.00%
17. Marker ID: 773 , Average Detection Rate: 100.00%
18. Marker ID: 929 , Average Detection Rate: 100.00%
19. Marker ID: 778 , Average Detection Rate: 100.00%
20. Marker ID: 806 , Average Detection Rate: 100.00%
21. Marker ID: 775 , Average Detection Rate: 100.00%
22. Marker ID: 853 , Average Detection Rate: 100.00%
23. Marker ID: 998 , Average Detection Rate: 99.95%
24. Marker ID: 811 , Average Detection Rate: 99.95%
25. Marker ID: 796 , Average Detection Rate: 99.95%
26. Marker ID: 954 , Average Detection Rate: 99.85%
27. Marker ID: 933 , Average Detection Rate: 99.85%
28. Marker ID: 978 , Average Detection Rate: 99.85%
29. Marker ID: 870 , Average Detection Rate: 99.65%
30. Marker ID: 934 , Average Detection Rate: 99.39%
31. Marker ID: 965 , Average Detection Rate: 99.04%
32. Marker ID: 923 , Average Detection Rate: 98.47%
33. Marker ID: 987 , Average Detection Rate: 98.43%
34. Marker ID: 868 , Average Detection Rate: 96.80%
35. Marker ID: 919 , Average Detection Rate: 95.10%
36. Marker ID: 902 , Average Detection Rate: 94.90%
1. Marker ID: 982 , Average Detection Rate: 99.85%
2. Marker ID: 798 , Average Detection Rate: 99.69%
3. Marker ID: 768 , Average Detection Rate: 98.93%
4. Marker ID: 995 , Average Detection Rate: 97.91%
5. Marker ID: 943 , Average Detection Rate: 96.36%
6. Marker ID: 770 , Average Detection Rate: 95.95%
7. Marker ID: 799 , Average Detection Rate: 95.43%
8. Marker ID: 801 , Average Detection Rate: 94.35%
9. Marker ID: 961 , Average Detection Rate: 93.75%
10. Marker ID: 804 , Average Detection Rate: 92.73%
11. Marker ID: 805 , Average Detection Rate: 91.87%
12. Marker ID: 836 , Average Detection Rate: 90.91%
